no,light_num,crossway_num,center,lanes,max_spd,road_length,road_bt,school_num,stations,police_num,label
492,3,4,0,2.11111111,56.66666667,184.5843764,16.25,0,0,1,33
493,2,0,0,2.5,52.5,145.6557056,21.3333333,0,0,0,66
494,31,4,2,3,60,211.5223185,12.3333333,0,1,1,471
495,17,3,2,3,60,211.5223185,11,0,1,1,316
496,16,4,0,3,60,236.0101078,16.6666666,0,1,1,247
497,13,6,0,2.25,60,233.5411906,10.8,0,1,1,145
498,18,5,0,3.25,60,432.3081634,35,0,1,0,230
499,18,4,0,3,52.5,238.0851562,15.6,0,1,1,278
500,10,5,0,1.83333333,51.66666667,599.1693372,15.2857142,0,0,0,140
501,15,3,0,1.66666667,60,341.834636,9.75,0,1,1,175
502,5,4,0,2,56,485.9135563,42.6666666,0,0,0,24
503,19,3,0,1.5,52.5,242.8025411,12.6666666,1,1,1,314
504,0,0,0,1,60,263.409121,7.2,0,0,0,30
505,2,4,1,2.66666667,60,218.9101231,11.1428571,0,1,0,43
506,3,2,0,1,60,416.7713443,7.8,0,1,0,22
507,15,4,0,1,50,303.0685389,6.125,1,0,0,108
508,8,1,0,1.6,60,540.99762,13,0,0,0,110
509,17,8,0,3,60,506.3427641,30,0,1,0,247
510,12,4,0,3.125,60,303.836099,15.75,0,0,0,367
511,6,4,0,1,40,687.2925232,11.6666666,1,0,0,75
512,8,2,0,3,50,484.9999499,21.3333333,1,0,1,246
513,16,1,0,3.45454545,51.81818182,115.811926,17.75,0,0,0,528
514,11,1,0,3.18181818,51.81818182,90.45567084,27.5,1,1,0,541
515,20,6,0,2.25,60,241.2774834,10.4,1,1,0,168
516,6,2,0,2.16666667,55.83333333,392.585176,45,0,0,0,74
517,13,4,0,1.5,47.5,259.1525276,8,0,0,0,236
518,34,4,0,3,60,233.7790622,17.8,1,0,0,253
519,10,9,3,2.125,60,490.1039362,9.2,0,1,0,163
520,9,4,0,1,30,321.5533171,8.33333333,4,0,1,9
521,6,1,0,2,50,352.4472898,7.8,4,0,1,36
522,14,4,0,3.13333333,60,324.8923764,30,0,0,0,114
523,4,3,0,1,60,403.9880251,7.42857143,2,0,1,191
524,18,6,0,3.13333333,60,324.8923764,33.3333333,0,0,0,452
525,17,3,0,3.66666667,60,727.4477586,35,0,0,0,236
526,40,6,1,2.70588235,47.64705882,257.882113,22.25,2,0,1,1024
527,11,2,0,3,60,321.2871773,15.2,0,1,0,217
528,8,2,0,2,57,716.0574314,21.3333333,2,0,1,219
529,15,4,0,3.375,60,285.9318417,22.1666666,1,1,1,726
530,12,4,0,2.9,56,214.2616349,27,0,1,1,277
531,21,5,0,2,52.5,330.6010313,16.75,1,1,2,227
532,16,8,1,3.25,60,194.6457676,23,0,0,1,358
533,20,5,0,2.75,60,427.8396979,23.25,2,0,0,479
534,12,4,0,2.5,60,269.2009544,16,0,0,1,182
535,18,8,0,2.66666667,50,70.17372821,20.25,1,0,0,561
536,23,6,0,3.1,60,483.6933627,40,0,0,0,256
537,12,5,0,2.5,60,653.4921705,27.3333333,1,0,0,307
538,7,4,1,1.8,50,756.5626182,10.3333333,1,0,0,163
539,0,1,0,2.66666667,60,268.8234428,18,0,0,0,10
540,10,5,0,3.18181818,54.54545455,176.7980487,33.3333333,0,1,1,674
541,16,3,0,3.66666667,60,593.7416083,31,0,0,0,274
542,12,1,0,2.66666667,60,322.6996765,22.3333333,0,1,1,201
543,4,3,0,2.5,50,228.1235495,8.85714286,0,0,1,7
544,19,6,1,3.625,62.5,337.2588807,40,0,1,1,456
545,22,9,0,2.57142857,49.28571429,69.06429762,14.2857142,0,1,0,320
546,31,5,0,2.66666667,58.33333333,208.8285695,17.2857142,0,0,1,475
547,15,4,0,1.75,45,206.2015241,7.625,0,0,0,303
548,26,2,0,2.91666667,52.5,82.49177663,27.5,0,1,0,524
549,15,4,0,1.75,45,206.2015241,6.63636364,0,0,0,287
550,6,0,0,4,60,224.5979107,30,0,1,0,506
551,17,4,0,3.22222222,56.66666667,263.8572269,22.3333333,0,1,0,683
552,10,4,0,3.66666667,66.66666667,318.1936181,22,1,0,0,230
553,13,3,0,3,50,187.5754693,27.2,0,1,0,348
554,19,8,0,3.90909091,54.54545455,245.108908,31.5,1,0,0,621
555,5,0,1,4,65,869.2353705,33.4285714,0,1,0,2
556,20,3,0,2.1,60,526.0754726,20.3333333,0,1,0,443
557,9,3,1,2.5,60,347.6865715,28.6666666,0,1,1,97
558,9,3,0,2.55555556,56.66666667,125.7216982,15,3,1,1,154
559,29,4,1,3.625,62.5,286.7223953,35,1,0,0,525
560,18,3,0,1.66666667,50,802.5287124,9.93185714,0,0,0,67
561,20,5,0,2.625,45,429.0716081,21.3333333,0,0,0,178
562,9,1,1,2.75,67.5,779.6718347,7.71428571,2,0,1,373
563,13,6,0,1.75,50,177.0095933,20,1,0,0,152
564,15,5,0,3.5,65,797.9024103,22.2,1,0,0,314
565,15,5,0,3.5,65,797.9024103,22.2,1,0,0,305
566,14,4,0,1.5,52.5,490.0037552,8.5,1,0,1,106
567,6,3,0,1.375,60,263.9950067,5.8,2,0,0,117
568,22,8,0,3.22222222,56.66666667,150.3077292,35,0,1,0,324
569,27,5,2,2.33333333,50,248.776901,21.75,1,1,0,465
570,14,6,1,2.5,53.33333333,525.1171774,8.25,2,0,1,166
571,24,5,0,2.25,60,445.2980227,14.75,3,1,0,354
572,13,4,0,1.75,52.5,334.9800556,8.625,2,0,0,136
